,Nodes,OARS Min Resistance,OARS Min SLEM,OARS Max Connectivity,Improved Max Connectivity,Feasibility,Sinkhorn-Knopp
0,10,1.9957830905914307,0.4789717197418213,0.5398116111755371,0.05835533142089844,0.19808697700500488,0.004094123840332031
1,10,2.0072250366210938,0.5476038455963135,0.4282824993133545,0.023885011672973633,0.016320228576660156,0.007229328155517578
2,10,2.005934476852417,0.46274900436401367,0.37868237495422363,0.02528095245361328,0.017452478408813477,0.005529165267944336
3,10,2.0162603855133057,0.4628865718841553,0.4665555953979492,0.024323701858520508,0.016881704330444336,0.007233858108520508
4,10,1.9691762924194336,0.5420212745666504,0.3849313259124756,0.0228118896484375,0.016237258911132812,0.007914304733276367
5,10,2.017289876937866,0.4872715473175049,0.44919586181640625,0.022967815399169922,0.016182661056518555,0.005057334899902344
6,10,2.025085687637329,0.5692942142486572,0.40752696990966797,0.025081157684326172,0.016246795654296875,0.005558967590332031
7,10,2.024343252182007,0.48671746253967285,0.4048154354095459,0.021430253982543945,0.015674352645874023,0.00532078742980957
8,10,2.005183219909668,0.5405604839324951,0.3845689296722412,0.022663354873657227,0.01653575897216797,0.0052721500396728516
9,10,1.9804160594940186,0.5615246295928955,0.3909423351287842,0.022091388702392578,0.0160520076751709,0.02089071273803711
10,15,6.445896863937378,1.348862886428833,1.0377824306488037,0.039832115173339844,0.03141617774963379,0.0050890445709228516
11,15,6.335062265396118,1.299527645111084,0.9537761211395264,0.044461727142333984,0.030880212783813477,0.0050885677337646484
12,15,6.281686305999756,1.2768170833587646,1.0131959915161133,0.041155099868774414,0.02742743492126465,0.00402379035949707
13,15,6.3621861934661865,1.2849280834197998,1.0629403591156006,0.04319357872009277,0.029486656188964844,0.005064249038696289
14,15,6.427685022354126,1.2798137664794922,1.0093762874603271,0.0413663387298584,0.028782129287719727,0.005635499954223633
15,15,6.34231424331665,1.3440613746643066,0.9427046775817871,0.04329037666320801,0.027985572814941406,0.010390281677246094
16,15,6.246777772903442,1.2632622718811035,1.0017156600952148,0.04219174385070801,0.028860807418823242,0.004038095474243164
17,15,6.34636116027832,1.2758495807647705,1.0245072841644287,0.04138684272766113,0.026566028594970703,0.005427122116088867
18,15,6.436625719070435,1.2822868824005127,1.018458604812622,0.04049324989318848,0.028027772903442383,0.005238533020019531
19,15,6.371347904205322,1.2912254333496094,0.9627206325531006,0.046115875244140625,0.029353857040405273,0.005919456481933594
20,20,14.93506932258606,2.604121446609497,2.0613362789154053,0.08883786201477051,0.05680537223815918,0.004869222640991211
21,20,,2.8018858432769775,2.2498233318328857,0.09896492958068848,0.05928444862365723,0.0038466453552246094
22,20,,2.681485652923584,2.24471378326416,0.11138319969177246,0.06459760665893555,0.0045053958892822266
23,20,,2.729736804962158,2.0845727920532227,0.10183024406433105,0.058274030685424805,0.0043125152587890625
24,20,,2.579953908920288,1.989098072052002,0.10625100135803223,0.05760931968688965,0.004637002944946289
25,20,,2.654226303100586,2.0558278560638428,0.10992646217346191,0.05564761161804199,0.005814075469970703
26,20,,2.5654196739196777,2.018279790878296,0.08860015869140625,0.05569815635681152,0.0044171810150146484
27,20,,2.797419786453247,2.0436930656433105,0.09151315689086914,0.05313920974731445,0.0047757625579833984
28,20,,2.699320077896118,2.007439374923706,0.10491418838500977,0.06155681610107422,0.004861354827880859
29,20,,2.9811794757843018,2.242690086364746,0.1041252613067627,0.056798458099365234,0.004884958267211914
30,30,,9.027512550354004,6.732855319976807,0.19541192054748535,0.10953283309936523,0.007889986038208008
31,30,,9.397985219955444,7.495994329452515,0.19095778465270996,0.10353350639343262,0.010530471801757812
32,30,,10.22441554069519,7.0905234813690186,0.18975591659545898,0.10924553871154785,0.007764577865600586
33,30,,9.178444147109985,7.261744022369385,0.18822717666625977,0.10441207885742188,0.007022857666015625
34,30,,9.88378643989563,7.412103176116943,0.18373847007751465,0.10454177856445312,0.008889436721801758
35,30,,9.413541555404663,7.284557342529297,0.1967334747314453,0.09955763816833496,0.009814977645874023
36,30,,8.752842903137207,6.54814887046814,0.1874828338623047,0.10020208358764648,0.007568359375
37,30,,9.458239555358887,6.542225122451782,0.1913154125213623,0.10239553451538086,0.006926298141479492
38,30,,9.337329149246216,7.054348945617676,0.18560409545898438,0.10106277465820312,0.006875276565551758
39,30,,9.711583852767944,7.068448305130005,0.1910552978515625,0.10502386093139648,0.008473873138427734
40,40,,25.57501244544983,18.359636545181274,0.28412294387817383,0.16304874420166016,0.009254217147827148
41,40,,,,0.2638404369354248,0.15732169151306152,0.00930643081665039
42,40,,,,0.2792224884033203,0.17866277694702148,0.009828567504882812
43,40,,,,0.2699241638183594,0.1868448257446289,0.00980377197265625
44,40,,,,0.2794978618621826,0.18090534210205078,0.01185154914855957
45,40,,,,0.29950571060180664,0.16773509979248047,0.01569676399230957
46,40,,,,0.27445149421691895,0.18505525588989258,0.011790990829467773
47,40,,,,0.2790563106536865,0.17407870292663574,0.01088261604309082
48,40,,,,0.26097536087036133,0.17598176002502441,0.01094818115234375
49,40,,,,0.2733571529388428,0.18269944190979004,0.011874914169311523
50,50,,,,0.40176987648010254,0.24879717826843262,0.013458967208862305
51,50,,,,0.39116549491882324,0.24490928649902344,0.015577554702758789
52,50,,,,0.4038209915161133,0.2558460235595703,0.013216972351074219
53,50,,,,0.39675259590148926,0.2522413730621338,0.015464067459106445
54,50,,,,0.45011401176452637,0.2505624294281006,0.014307022094726562
55,50,,,,0.3851287364959717,0.23961448669433594,0.021503686904907227
56,50,,,,0.3898329734802246,0.24159526824951172,0.014406442642211914
57,50,,,,0.3962244987487793,0.24787211418151855,0.01319432258605957
58,50,,,,0.4534904956817627,0.2507920265197754,0.017834186553955078
59,50,,,,0.43332815170288086,0.25077176094055176,0.016848087310791016
60,100,,,,1.4997038841247559,0.8479132652282715,0.03247880935668945
61,100,,,,1.6369867324829102,0.8387124538421631,0.03669595718383789
62,100,,,,1.6620233058929443,0.8244552612304688,0.034829139709472656
63,100,,,,1.5278265476226807,0.8393850326538086,0.02948307991027832
64,100,,,,1.653566598892212,0.818413496017456,0.032071590423583984
65,100,,,,1.5748937129974365,0.8472182750701904,0.032256364822387695
66,100,,,,1.5089294910430908,0.8324794769287109,0.02942633628845215
67,100,,,,1.6708266735076904,0.8261854648590088,0.02939438819885254
68,100,,,,1.6243443489074707,0.8355734348297119,0.0320284366607666
69,100,,,,1.463247537612915,0.820082426071167,0.03177690505981445
70,150,,,,3.7353737354278564,1.7556405067443848,0.04961991310119629
71,150,,,,3.6165544986724854,1.764557123184204,0.045564889907836914
72,150,,,,3.5047292709350586,1.767202377319336,0.05695962905883789
73,150,,,,3.41438889503479,1.771010160446167,0.04942822456359863
74,150,,,,3.6856606006622314,1.8494417667388916,0.049904823303222656
75,150,,,,3.53861665725708,1.7909533977508545,0.04243969917297363
76,150,,,,3.414642333984375,1.8785302639007568,0.05002999305725098
77,150,,,,3.9221837520599365,1.759687900543213,0.053315162658691406
78,150,,,,3.600186824798584,1.740222692489624,0.05339193344116211
79,150,,,,3.4658689498901367,1.7485475540161133,0.05354619026184082
80,200,,,,6.423689842224121,3.0248453617095947,0.07675695419311523
81,200,,,,6.455250024795532,3.015874147415161,0.07684063911437988
82,200,,,,6.512485504150391,3.0334813594818115,0.06654143333435059
83,200,,,,6.3040525913238525,3.0893685817718506,0.08054327964782715
84,200,,,,7.070157051086426,3.0562455654144287,0.06121373176574707
85,200,,,,6.195709705352783,3.017305612564087,0.06574320793151855
86,200,,,,6.630093574523926,2.9858570098876953,0.0760946273803711
87,200,,,,6.642760515213013,2.9824023246765137,0.07322430610656738
88,200,,,,6.048398733139038,2.988081932067871,0.06593012809753418
89,200,,,,6.635698556900024,3.019728899002075,0.06627082824707031
90,250,,,,13.391472578048706,4.603790521621704,0.09085798263549805
91,250,,,,10.563805103302002,4.737510919570923,0.09044766426086426
92,250,,,,12.79080843925476,4.617944717407227,0.08388447761535645
93,250,,,,10.040985822677612,4.649471759796143,0.09094405174255371
94,250,,,,10.157284498214722,4.621228218078613,0.09799861907958984
95,250,,,,9.363231658935547,4.648163557052612,0.08963465690612793
96,250,,,,10.063500881195068,4.776551723480225,0.09494352340698242
97,250,,,,9.690089225769043,4.606644868850708,0.08371353149414062
98,250,,,,9.45057487487793,4.648066520690918,0.09131360054016113
99,250,,,,12.079345226287842,4.652505159378052,0.0843665599822998
100,300,,,,16.827426433563232,7.514940023422241,0.11575675010681152
101,300,,,,18.045690536499023,6.426053762435913,0.11399960517883301
102,300,,,,15.312049150466919,6.4682652950286865,0.11413335800170898
103,300,,,,64.99395036697388,6.497857570648193,0.11457419395446777
104,300,,,,42.76764106750488,7.318747043609619,0.11103391647338867
105,300,,,,52.755767822265625,6.510296106338501,0.10659670829772949
106,300,,,,16.88545274734497,6.585506439208984,0.10509967803955078
107,300,,,,24.030336141586304,7.337151527404785,0.11468029022216797
108,300,,,,15.780547857284546,7.322200298309326,0.10550284385681152
109,300,,,,15.046499729156494,6.595134258270264,0.11540031433105469
110,350,,,,28.465975284576416,9.941680908203125,0.12902045249938965
111,350,,,,21.443772792816162,9.953163146972656,0.12804174423217773
112,350,,,,19.931360721588135,10.154746770858765,0.14047789573669434
113,350,,,,79.25715661048889,8.853785037994385,0.1275160312652588
114,350,,,,20.393338441848755,8.733803987503052,0.1386730670928955
115,350,,,,23.65827488899231,8.763164281845093,0.13813352584838867
116,350,,,,19.500290155410767,9.948707103729248,0.11779427528381348
117,350,,,,20.839706897735596,10.118746042251587,0.12785816192626953
118,350,,,,20.973875761032104,8.727905511856079,0.13120579719543457
119,350,,,,19.70466160774231,8.823668241500854,0.13646364212036133
