mpps_mse,warm_mpps_mse,admm_mse,warm_admm_mse
0.00188435660886241,0.0020022082137317117,0.003283020775975344,0.00242040695534861
0.007179691519984043,0.007837818981530981,0.027182910583057576,0.009796397217146213
0.0020317343905083174,0.0020795915027152978,0.0034173354906549634,0.002548497713087427
0.0018954938877445726,0.0020268558457573896,0.0015935927734622172,0.0015694019728691889
0.0019101541758517805,0.0020400004953901223,0.0033232147280169307,0.0027788353151802763
0.0027699758920426204,0.0028269810116713532,0.007764011281263504,0.003168031746584414
0.0009555192210453748,0.0009089178506373685,0.0012012859408091958,0.0007818142739866739
0.0016289735397820436,0.001651826967334059,0.001526570677859933,0.001893379084314332
0.0032436663566310256,0.0033662885713528078,0.007082248662942937,0.004111838675734492
0.002133796787842319,0.0026494866288143343,0.0192679373827493,0.006032885178802208
0.0007811800034621217,0.0007778351415497225,0.0006957070487425658,0.0012165814490138428
0.0010283055123039714,0.0010600279585463409,0.0012834571103928195,0.0011440147370876089
0.0034017851032076534,0.0035176402969049536,0.05755766610899763,0.004149072090916325
0.001398105628648542,0.001493335754364739,0.0012236786896341336,0.0011097833966673917
0.004205120175729895,0.004181803021783748,0.006015048180610727,0.005333403769923949
0.001048164119193304,0.0010708273931702634,0.0009846544423885541,0.0010769640182837653
0.00131152180851737,0.0015636999188301374,0.012022211341498796,0.0030142954902865537
0.0012034901191534816,0.0012640288042212121,0.0013042567707993542,0.0009362204594076492
0.0009358620409768496,0.0011086293449833746,0.0012126255624698365,0.0011043105016292373
0.001247473854343506,0.0014991607455053626,0.0018337377575983228,0.0025298342478539027
0.0010812011819343193,0.0011407025783280664,0.001412570889319476,0.0011989701410504235
0.0033703105843736906,0.003928855701301585,0.038573919416022215,0.00790039588808841
0.004461628389143037,0.004937789024543274,0.007512811806026354,0.006659011774137718
0.0017260389299962934,0.0016456595971977397,0.002123543104037679,0.001628939434766634
0.0011889050579898868,0.001200751837504638,0.0012548185052837424,0.0010050072675974102
0.0047819301154790736,0.0049431329785515786,0.003990809594567645,0.004504578394378352
0.0017508657758388351,0.0017888692072937167,0.003114391740358657,0.0037256757192356024
0.003177614654883832,0.003106513624555738,0.004740267383118213,0.0037573872979341384
0.005632436373208374,0.005111677785167324,0.004660074256633274,0.004720294802396143
0.0011211688930393357,0.0012064039573160684,0.003525564341406635,0.0024910020384851647
0.0019997340743603573,0.002016463199551403,0.003712448805392306,0.001706495348236813
0.0008835605782183728,0.0009241030967837553,0.0009763242177489725,0.0009290553165859891
0.0011250875847950562,0.0012079461899391773,0.0009214081607666268,0.001293439439900275
0.0009396354433636769,0.0009364550919240478,0.0013664256748812831,0.00113239982083986
0.006872662229627426,0.007114861934848073,0.2017891705735141,0.014063163725255323
0.006381313652524158,0.00711181316817778,0.010438808914476792,0.0064986296685587645
0.003426015240836242,0.0038010434538237343,0.0026817324142083556,0.0031537832093599745
0.0028676000720433067,0.00322935344838015,0.010589775220781826,0.005426264712989352
0.0012883529215119937,0.0014077522549913745,0.0015271332407416542,0.0012090619433307204
0.0025387738332287714,0.002418591614363393,0.003931745536681695,0.003545358083550147
0.003426207234022503,0.0035714397236494408,0.0025251403491010405,0.0031808475929310824
0.0008866918359249537,0.0008834245728428908,0.0008524473909424474,0.0008008981679299175
0.005221083732937299,0.005712293187908823,0.013088757815764093,0.0055619493996019115
0.003121612287688366,0.0033176580710392997,0.013724177966425383,0.0053461271912528165
0.002296785036092684,0.0022908753575941023,0.0024290433102005567,0.0024571404369331004
0.0011339465221985063,0.001150176780285954,0.0007801050984339405,0.0008196705416459996
0.0020090164179101173,0.0020244572200965342,0.001679591391368131,0.001741379571935924
0.0010270322185062003,0.001069523662504239,0.001241020211590608,0.001041034773045215
0.0007556004390944782,0.0007675897084696959,0.0010589668798561096,0.0009168306271657118
0.0013845165438990156,0.0014481503736693568,0.0014454733278921432,0.0012663132673238783
